Policy Reference,Coverage Amount,Start Date,End Date,Admin Charges,Company Description,Contract Event,Consumer Category,Consumer ID,Broker Fee,Activation Date,Insurance Company Ref,Tax Amount,Coverage Cost,Contract Fee,Contract Category,Underwriter,Insurance Plan,NextRenewalDate,Primary Policy Ref,Broker
POL001,1000000.0,2023-01-15,2024-01-15,100.0,Business ABC,New Business,Corporate,CR001,0.15,2023-01-15,IPN001,150.0,8000.0,50.0,Property,ABC Insurance,Property Insurance,15/01/2024,RP001,broker_1
POL002,750000.0,2023-02-10,2024-02-10,75.0,Business XYZ,Renewal,Individual,CR002,0.12,2023-02-10,IPN002,100.0,6000.0,30.0,Auto,XYZ Insurers,Auto Coverage,10/02/2024,RP002,broker_1
POL003,500000.0,2023-03-20,2024-03-20,50.0,Business PQR,Policy Renewal,Corporate,CR003,0.1,2023-03-20,IPN003,75.0,4000.0,25.0,Health,PQR Underwriters,Health Insurance,20/03/2024,RP003,broker_1
POL004,800000.0,2023-04-15,2024-04-15,80.0,Business LMN,New Business,Individual,CR004,0.18,2023-04-15,IPN004,120.0,9000.0,60.0,Property,LMN Insurance,Property Insurance,15/04/2024,RP004,broker_1
POL005,600000.0,2023-05-12,2024-05-12,60.0,Business XYZ,Policy Renewal,Corporate,CR005,0.14,2023-05-12,IPN005,90.0,7000.0,40.0,Auto,XYZ Insurers,Auto Coverage,12/05/2024,RP005,broker_1
POL006,900000.0,2023-06-18,2024-06-18,90.0,Business ABC,Renewal,Individual,CR006,0.2,2023-06-18,IPN006,135.0,10000.0,70.0,Health,ABC Insurance,Health Insurance,18/06/2024,RP006,broker_1
POL007,1200000.0,2023-07-25,2024-07-25,120.0,Business XYZ,New Business,Corporate,CR007,0.25,2023-07-25,IPN007,180.0,13000.0,100.0,Property,XYZ Insurers,Property Insurance,25/07/2024,RP007,broker_1
POL008,450000.0,2023-08-30,2024-08-30,45.0,Business PQR,Policy Renewal,Individual,CR008,0.08,2023-08-30,IPN008,67.5,3500.0,15.0,Auto,PQR Underwriters,Auto Coverage,30/08/2024,RP008,broker_1
POL009,1100000.0,2023-09-19,2024-09-19,110.0,Business LMN,Renewal,Corporate,CR009,0.22,2023-09-19,IPN009,165.0,9500.0,90.0,Health,LMN Insurance,Health Insurance,19/09/2024,RP009,broker_1
POL010,680000.0,2023-10-24,2024-10-24,68.0,Business ABC,New Business,Individual,CR010,0.13,2023-10-24,IPN010,102.0,7200.0,34.0,Property,ABC Insurance,Property Insurance,24/10/2024,RP010,broker_1
